volume year link notes
10.55 1866 https://gallica.bnf.fr/ark:/12148/bpt6k5689128v.r=revue%20africaine?rk=1266100;4 
10.56 1866 https://gallica.bnf.fr/ark:/12148/bpt6k56891298.r=revue%20africaine?rk=1180263;2 
10.57 1866 https://gallica.bnf.fr/ark:/12148/bpt6k5689130x.r=revue%20africaine?rk=1244641;2 
10.58 1866 https://gallica.bnf.fr/ark:/12148/bpt6k5689131b.r=revue%20africaine?rk=1201722;4 
10.59 1866 https://gallica.bnf.fr/ark:/12148/bpt6k5689132r.r=revue%20africaine?rk=1287560;0 
10.60 1866 https://gallica.bnf.fr/ark:/12148/bpt6k56891335.r=revue%20africaine?rk=1223182;0 
11.61 1867 https://gallica.bnf.fr/ark:/12148/bpt6k56891350.r=revue%20africaine?rk=1394856;4 
11.62 1867 https://gallica.bnf.fr/ark:/12148/bpt6k5689136d.r=revue%20africaine?rk=1351938;0 
11.63 1867 https://gallica.bnf.fr/ark:/12148/bpt6k5689137t.r=revue%20africaine?rk=1330478;4 
11.64 1867 https://gallica.bnf.fr/ark:/12148/bpt6k56891387.r=revue%20africaine?rk=1416316;0 
11.65 1867 https://gallica.bnf.fr/ark:/12148/bpt6k5689139n.r=revue%20africaine?rk=1373397;2 
11.66 1867 https://gallica.bnf.fr/ark:/12148/bpt6k5689141q.r=revue%20africaine?rk=1309019;2 
12.67 1868 https://gallica.bnf.fr/ark:/12148/bpt6k56966493.r=revue%20africaine?rk=1502153;2 
12.68 1868 https://gallica.bnf.fr/ark:/12148/bpt6k56979718.r=revue%20africaine?rk=1480694;0 
12.69 1868 https://gallica.bnf.fr/ark:/12148/bpt6k5697972p.r=revue%20africaine?rk=1437775;2 
12.70 1868 https://gallica.bnf.fr/ark:/12148/bpt6k56979733.r=revue%20africaine?rk=1523612;4 
12.71 1868 https://gallica.bnf.fr/ark:/12148/bpt6k5697974h.r=revue%20africaine?rk=1459234;4 
12.72 1868 https://gallica.bnf.fr/ark:/12148/bpt6k5697975x.r=revue%20africaine?rk=1545072;0 
13.73 1869 https://gallica.bnf.fr/ark:/12148/bpt6k5697976b.r=revue%20africaine?rk=1652368;4 
13.74 1869 https://gallica.bnf.fr/ark:/12148/bpt6k5697977r.r=revue%20africaine?rk=1609450;0 
13.75 1869 https://gallica.bnf.fr/ark:/12148/bpt6k56979785.r=revue%20africaine?rk=1587990;4 
13.76 1869 https://gallica.bnf.fr/ark:/12148/bpt6k5697979k.r=revue%20africaine?rk=1566531;2 
13.77 1869 https://gallica.bnf.fr/ark:/12148/bpt6k56979807.r=revue%20africaine?rk=1673828;0 
13.78 1869 https://gallica.bnf.fr/ark:/12148/bpt6k5697981n.r=revue%20africaine?rk=1630909;2 
14.79 1870 https://gallica.bnf.fr/ark:/12148/bpt6k5686641h.r=revue%20africaine?rk=1738206;0 
14.80 1870 https://gallica.bnf.fr/ark:/12148/bpt6k5686724b.r=revue%20africaine?rk=1716746;4 
14.81 1870 https://gallica.bnf.fr/ark:/12148/bpt6k56867658.r=revue%20africaine?rk=1802584;0 
14.82 1870 https://gallica.bnf.fr/ark:/12148/bpt6k5686731g.r=revue%20africaine?rk=1781124;4 
14.83 1870 https://gallica.bnf.fr/ark:/12148/bpt6k5686790b.r=revue%20africaine?rk=1759665;2 
14.84 1870 https://gallica.bnf.fr/ark:/12148/bpt6k5686737z.r=revue%20africaine?rk=1695287;2 
15.85 1871 https://gallica.bnf.fr/ark:/12148/bpt6k56867925.r=revue%20africaine?rk=1866962;0 
15.86 1871 https://gallica.bnf.fr/ark:/12148/bpt6k56867428.r=revue%20africaine?rk=1845502;4 
15.87 1871 "[Added directly using the Google Books version]" 
15.88 1871 https://gallica.bnf.fr/ark:/12148/bpt6k5686747b.r=revue%20africaine?rk=1888421;2 
15.89 1871 https://gallica.bnf.fr/ark:/12148/bpt6k5686793k?rk=21459;2 
16.91 1872 https://gallica.bnf.fr/ark:/12148/bpt6k5686789p?rk=85837;2 
